geo,year,life_expectancy
EE,2018,78.5
EE,2019,79.0
EE,2020,78.9
EE,2021,77.2
EE,2022,78.1
EE,2023,79.1
EE,2024,79.4
EL,1960,
EL,1961,72.1
EL,1962,71.7
EL,1963,72.0
EL,1964,71.8
EL,1965,72.4
EL,1966,72.6
EL,1967,72.4
EL,1968,72.4
EL,1969,73.0
EL,1970,73.8
EL,1971,74.2
EL,1972,73.8
EL,1973,74.1
EL,1974,74.6
EL,1975,74.4
EL,1976,74.5
EL,1977,74.7
EL,1978,75.3
EL,1979,75.5
EL,1980,75.3
EL,1981,75.7
EL,1982,75.9
EL,1983,75.7
EL,1984,76.2
EL,1985,76.0
EL,1986,76.4
EL,1987,76.2
EL,1988,76.8
EL,1989,77.0
EL,1990,77.1
EL,1991,77.3
EL,1992,77.2
EL,1993,77.6
EL,1994,77.8
EL,1995,77.8
EL,1996,77.9
EL,1997,78.4
EL,1998,78.3
EL,1999,78.5
EL,2000,78.6
EL,2001,79.1
EL,2002,79.2
EL,2003,79.3
EL,2004,79.4
EL,2005,79.6
EL,2006,79.9
EL,2007,79.7
EL,2008,80.2
EL,2009,80.4
EL,2010,80.6
EL,2011,80.8
EL,2012,80.7
EL,2013,81.4
EL,2014,81.5
EL,2015,81.1
EL,2016,81.5
EL,2017,81.4
EL,2018,81.9
EL,2019,81.7
EL,2020,81.4
EL,2021,80.2
EL,2022,80.8
EL,2023,81.8
EL,2024,81.9
ES,1960,
ES,1961,
ES,1962,
ES,1963,
ES,1964,
ES,1965,
ES,1966,
ES,1967,
ES,1968,
ES,1969,
ES,1970,
ES,1971,
ES,1972,
ES,1973,
ES,1974,
ES,1975,73.4
ES,1976,73.7
ES,1977,74.2
ES,1978,74.4
ES,1979,75.0
ES,1980,75.5
ES,1981,75.7
ES,1982,76.3
ES,1983,76.1
ES,1984,76.4
ES,1985,76.4
ES,1986,76.7
ES,1987,76.9
ES,1988,76.9
ES,1989,77.0
ES,1990,76.9
ES,1991,77.1
ES,1992,77.6
ES,1993,77.7
ES,1994,78.0
ES,1995,78.1
ES,1996,78.3
ES,1997,78.8
ES,1998,78.8
ES,1999,78.8
ES,2000,79.3
ES,2001,79.8
ES,2002,79.8
ES,2003,79.7
ES,2004,80.4
ES,2005,80.3
ES,2006,81.1
ES,2007,81.1
ES,2008,81.5
ES,2009,81.9
ES,2010,82.4
ES,2011,82.6
ES,2012,82.5
ES,2013,83.2
ES,2014,83.3
ES,2015,83.0
ES,2016,83.5
ES,2017,83.4
ES,2018,83.5
ES,2019,84.0
ES,2020,82.3
ES,2021,83.3
ES,2022,83.2
ES,2023,84.0
ES,2024,84.0
FI,1960,
FI,1961,
FI,1962,
FI,1963,
FI,1964,
FI,1965,
FI,1966,
FI,1967,
FI,1968,
FI,1969,
FI,1970,
FI,1971,
FI,1972,
FI,1973,
FI,1974,
FI,1975,
FI,1976,
FI,1977,
FI,1978,
FI,1979,
FI,1980,73.7
FI,1981,74.0
FI,1982,74.6
FI,1983,74.5
FI,1984,74.9
FI,1985,74.5
FI,1986,74.9
FI,1987,74.9
FI,1988,74.8
FI,1989,75.0
FI,1990,75.1
FI,1991,75.5
FI,1992,75.7
FI,1993,75.9
FI,1994,76.7
FI,1995,76.7
FI,1996,77.0
FI,1997,77.2
FI,1998,77.4
FI,1999,77.6
FI,2000,77.8
FI,2001,78.2
FI,2002,78.3
FI,2003,78.6
FI,2004,79.0
FI,2005,79.1
FI,2006,79.5
FI,2007,79.6
FI,2008,79.9
FI,2009,80.1
FI,2010,80.2
FI,2011,80.6
FI,2012,80.7
FI,2013,81.1
FI,2014,81.3
FI,2015,81.6
FI,2016,81.5
FI,2017,81.7
FI,2018,81.8
FI,2019,82.1
FI,2020,82.0
FI,2021,81.9
FI,2022,81.2
FI,2023,81.6
FI,2024,82.2
FR,1960,
FR,1961,
FR,1962,
FR,1963,
FR,1964,
FR,1965,
FR,1966,
FR,1967,
FR,1968,
FR,1969,
FR,1970,
FR,1971,
FR,1972,
FR,1973,
FR,1974,
FR,1975,
FR,1976,
FR,1977,
FR,1978,
FR,1979,
FR,1980,
FR,1981,
FR,1982,
FR,1983,
FR,1984,
FR,1985,
FR,1986,
FR,1987,
FR,1988,
FR,1989,
FR,1990,
FR,1991,
FR,1992,
FR,1993,
FR,1994,
FR,1995,
FR,1996,
FR,1997,
FR,1998,78.7
FR,1999,78.9
FR,2000,79.2
FR,2001,79.3
FR,2002,79.4
FR,2003,79.3
FR,2004,80.3
FR,2005,80.3
FR,2006,80.9
FR,2007,81.3
FR,2008,81.4
FR,2009,81.5
FR,2010,81.8
FR,2011,82.3
FR,2012,82.1
FR,2013,82.4
FR,2014,82.9
FR,2015,82.4
FR,2016,82.7
FR,2017,82.7
FR,2018,82.8
FR,2019,83.0
FR,2020,82.3
FR,2021,82.4
FR,2022,82.3
FR,2023,83.0
FR,2024,83.0
HR,1960,
HR,1961,
HR,1962,
HR,1963,
HR,1964,
HR,1965,
HR,1966,
HR,1967,
HR,1968,
HR,1969,
HR,1970,
HR,1971,
HR,1972,
HR,1973,
HR,1974,
HR,1975,
HR,1976,
HR,1977,
HR,1978,
HR,1979,
HR,1980,
HR,1981,
HR,1982,
HR,1983,
HR,1984,
HR,1985,
HR,1986,
HR,1987,
HR,1988,
HR,1989,
HR,1990,
HR,1991,
HR,1992,
HR,1993,
HR,1994,
HR,1995,
HR,1996,
HR,1997,
HR,1998,
HR,1999,
HR,2000,
HR,2001,74.6
HR,2002,74.7
HR,2003,74.6
HR,2004,75.4
HR,2005,75.3
HR,2006,75.9
HR,2007,75.8
HR,2008,76.0
HR,2009,76.3
HR,2010,76.7
HR,2011,77.2
HR,2012,77.3
HR,2013,77.8
HR,2014,77.9
HR,2015,77.5
HR,2016,78.2
HR,2017,78.0
HR,2018,78.2
HR,2019,78.6
HR,2020,77.6
HR,2021,76.6
HR,2022,77.7
HR,2023,78.6
HR,2024,78.9
HU,1960,68.1
HU,1961,69.0
HU,1962,67.9
HU,1963,69.0
HU,1964,69.5
HU,1965,69.2
HU,1966,69.9
HU,1967,69.5
HU,1968,69.3
HU,1969,69.4
HU,1970,69.2
HU,1971,69.1
HU,1972,69.8
HU,1973,69.6
HU,1974,69.3
HU,1975,69.4
HU,1976,69.7
HU,1977,69.9
HU,1978,69.4
HU,1979,69.7
HU,1980,69.1
HU,1981,69.2
HU,1982,69.4
HU,1983,69.0
HU,1984,69.1
HU,1985,69.1
HU,1986,69.3
HU,1987,69.8
HU,1988,70.2
HU,1989,69.5
HU,1990,69.4
HU,1991,69.4
HU,1992,69.2
HU,1993,69.2
HU,1994,69.6
HU,1995,70.0
HU,1996,70.6
HU,1997,71.1
HU,1998,71.0
HU,1999,71.1
HU,2000,71.9
HU,2001,72.5
HU,2002,72.6
HU,2003,72.6
HU,2004,73.0
HU,2005,73.0
HU,2006,73.5
HU,2007,73.6
HU,2008,74.2
HU,2009,74.4
HU,2010,74.7
HU,2011,75.1
HU,2012,75.3
HU,2013,75.8
HU,2014,76.0
HU,2015,75.7
HU,2016,76.2
HU,2017,76.0
HU,2018,76.2
HU,2019,76.5
HU,2020,75.5
HU,2021,74.1
HU,2022,76.0
HU,2023,76.7
HU,2024,76.8
IE,1960,
IE,1961,
IE,1962,
IE,1963,
IE,1964,
IE,1965,
IE,1966,
IE,1967,
IE,1968,
IE,1969,
IE,1970,
IE,1971,
IE,1972,
IE,1973,
IE,1974,
IE,1975,
IE,1976,
IE,1977,
IE,1978,
IE,1979,
IE,1980,
IE,1981,
IE,1982,
IE,1983,
IE,1984,
IE,1985,
IE,1986,73.5
IE,1987,74.3
IE,1988,74.4
IE,1989,74.4
IE,1990,74.8
IE,1991,75.0
IE,1992,75.4
IE,1993,75.3
IE,1994,75.8
IE,1995,75.5
IE,1996,75.8
IE,1997,76.0
IE,1998,76.2
IE,1999,76.1
IE,2000,76.6
IE,2001,77.2
IE,2002,77.7
IE,2003,78.2
IE,2004,78.6
IE,2005,79.0
IE,2006,79.3
IE,2007,79.7
IE,2008,80.2
IE,2009,80.2
IE,2010,80.8
IE,2011,80.9
IE,2012,80.9
IE,2013,81.0
IE,2014,81.4
IE,2015,81.5
IE,2016,81.7
IE,2017,82.2
IE,2018,82.2
IE,2019,82.8
IE,2020,82.5
IE,2021,82.3
IE,2022,82.6
IE,2023,82.9
IE,2024,83.1
IT,1960,
IT,1961,
IT,1962,
IT,1963,
IT,1964,
IT,1965,
IT,1966,
IT,1967,
IT,1968,
IT,1969,
IT,1970,
IT,1971,
IT,1972,
IT,1973,
IT,1974,
IT,1975,
IT,1976,
IT,1977,
IT,1978,
IT,1979,
IT,1980,
IT,1981,
IT,1982,
IT,1983,
IT,1984,
IT,1985,75.6
IT,1986,75.9
IT,1987,76.3
IT,1988,76.5
IT,1989,77.0
IT,1990,77.1
IT,1991,77.1
IT,1992,77.5
IT,1993,77.8
IT,1994,78.0
IT,1995,78.3
IT,1996,78.7
IT,1997,79.0
IT,1998,79.1
IT,1999,79.6
IT,2000,79.9
IT,2001,80.3
IT,2002,80.4
IT,2003,80.1
IT,2004,80.9
IT,2005,80.9
IT,2006,81.4
IT,2007,81.6
IT,2008,81.7
IT,2009,81.8
IT,2010,82.2
IT,2011,82.4
IT,2012,82.4
IT,2013,82.9
IT,2014,83.2
IT,2015,82.7
IT,2016,83.4
IT,2017,83.1
IT,2018,83.4
IT,2019,83.6
IT,2020,82.3
IT,2021,82.7
IT,2022,82.8
IT,2023,83.5
IT,2024,83.7
LT,1960,
LT,1961,
LT,1962,
LT,1963,
LT,1964,
LT,1965,
LT,1966,
LT,1967,
LT,1968,
LT,1969,
LT,1970,71.1
LT,1971,72.0
LT,1972,71.3
LT,1973,71.6
LT,1974,71.6
LT,1975,71.1
LT,1976,71.1
LT,1977,71.0
LT,1978,70.7
LT,1979,70.6
LT,1980,70.5
LT,1981,70.5
LT,1982,70.9
LT,1983,70.8
LT,1984,70.3
LT,1985,70.6
LT,1986,72.3
LT,1987,72.2
LT,1988,72.0
LT,1989,71.7
LT,1990,71.5
LT,1991,70.6
LT,1992,70.5
LT,1993,69.0
LT,1994,68.6
LT,1995,69.1
LT,1996,70.3
LT,1997,71.1
LT,1998,71.4
LT,1999,71.8
LT,2000,72.1
LT,2001,71.6
LT,2002,71.8
LT,2003,72.0
LT,2004,72.0
