freq,indic_de,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CNMIGRATRT,HR	-2.2 	-1.8 	0.0 	-0.8 	0.2 	-0.4 	-0.8 	0.0 	1.4 	1.6 	0.2 	0.1 	0.0 	-0.2 	-0.5 	0.3 	0.7 	-0.1 	0.2 	-3.1 	-3.2 	0.9 	2.0 	2.6 	2.3 	2.2 	2.3 	2.4 	1.6 	1.6 	1.3 	-39.1 	-7.7 	19.9 	3.1 	-16.7 	-11.3 	0.1 	-0.9 	-5.1 	-11.7 	4.3 b	2.4 	3.1 	3.4 	2.5 	2.3 	2.1 	1.4 	0.2 	-1.0 	-0.9 	-0.9 	-4.7 	-6.1 	-8.0 	-9.3 	-11.7 	-7.5 	-4.9 	-4.9 	-1.2 	3.0 	7.8 	8.1 	: 
A,CNMIGRATRT,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-1.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-18.4 	1.8 	1.7 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.7 	1.6 	1.6 	1.0 	0.3 	1.5 	1.8 	1.7 	2.1 	1.4 	1.6 	1.7 	1.2 	1.3 	1.6 b	-0.8 	-0.1 	0.3 	-0.8 	1.1 	2.5 	2.7 	1.0 	2.2 	3.8 	2.7 	0.4 	: 
A,CNMIGRATRT,IE	-14.8 	-7.0 	-3.5 	-5.0 	-6.6 	-7.5 	-4.5 	-5.7 	-5.1 	-2.7 	-0.9 	2.0 	4.5 	5.1 	6.0 	5.4 	3.7 	2.2 	4.4 	-0.2 	-0.2 	0.3 	-3.8 	-2.8 	-3.6 	-10.5 	-4.8 	-10.6 	-12.1 	-8.0 	-2.2 	1.4 	0.5 	-0.9 	-0.8 	1.6 	4.4 	4.7 	4.4 	6.5 	8.4 	10.2 	8.6 	8.1 	12.2 	15.2 	22.2 	16.9 	3.7 	-4.2 	-5.6 	-5.9 	-4.8 	-2.5 	0.4 	2.8 	8.3 	5.2 	11.2 	8.8 	6.1 	12.0 	18.7 	11.4 	12.8 	: 
A,CNMIGRATRT,IS	-1.8 	0.9 	-1.3 	-0.9 	-0.7 	-0.8 	0.0 	0.2 	-2.1 	-7.0 	-8.7 	-1.2 	1.5 	-1.5 	0.9 	-1.8 	-5.3 	-4.8 	-3.4 	-2.5 	-2.7 	0.7 	2.6 	0.7 	-1.4 	-2.5 	-1.8 	4.2 	6.0 	-3.9 	-3.9 	4.4 	-0.9 	-0.7 	-3.0 	-5.1 	-2.0 	0.7 	3.6 	4.1 	6.5 	3.0 	-1.2 	-0.7 	2.0 	13.0 	17.3 	16.6 	3.3 	-15.0 	-6.5 	-4.3 	-0.9 	5.1 	3.4 	4.5 	12.2 	24.1 	18.6 	13.8 	6.7 	13.2 	25.7 	-15.4 	10.8 	: 
A,CNMIGRATRT,IT	-1.6 	-2.7 	-1.3 	-1.2 	-1.2 	-1.2 	-1.6 	-1.5 	-1.7 	-1.8 	-2.0 	-2.8 	0.4 	0.5 	0.5 	0.4 	0.5 	0.4 	0.3 	0.2 	0.1 	-0.6 	-0.8 	-0.6 	-0.5 	-0.4 	-0.3 	-0.1 	0.2 	0.3 	0.4 	0.3 	0.4 	0.4 	0.4 	0.5 	1.0 	0.9 	0.7 	0.6 	0.9 	0.8 	3.7 	8.2 	7.2 	4.4 	3.8 	8.5 	7.2 	4.9 	4.7 	3.4 	4.2 	2.6 	0.8 	0.5 	0.7 	1.0 	1.2 	0.7 	-1.2 	1.6 	4.9 	4.5 	4.1 p	: 
A,CNMIGRATRT,LI	5.9 	15.9 	25.3 	22.8 	22.5 	-1.0 	20.1 	13.1 	25.0 	-26.5 	7.6 	15.6 	16.0 	22.7 	17.5 	3.1 	2.2 	15.8 	19.0 	10.6 	-31.8 	27.5 	1.3 	-2.5 	-2.3 	7.2 	5.9 	4.7 	8.8 	2.5 	13.8 	4.3 	9.7 	6.8 	5.5 	3.1 	1.5 	-0.9 	15.9 	6.7 	7.8 	14.5 	4.7 	8.8 	3.8 	4.0 	3.5 	1.8 	2.5 	3.6 	4.6 	4.9 	6.3 	5.4 	3.6 	4.9 	2.1 	5.7 	4.2 	7.2 	7.0 	3.8 	7.2 	6.2 	20.6 p	: 
A,CNMIGRATRT,LT	1.8 	1.3 	0.2 	0.6 	0.9 	1.8 	2.3 	2.0 	1.7 	-1.2 	4.5 	2.6 	2.1 	2.1 	2.1 	1.8 	2.2 	1.7 	1.8 	-1.3 	0.6 	1.4 	2.6 	2.3 	2.9 	3.5 	3.7 	4.3 	5.6 	0.3 	-2.4 	-2.9 	-6.8 	-6.5 	-6.6 	-6.5 	-6.5 	-6.3 	-6.2 	-5.9 	-5.8 	-6.7 	-3.4 	-6.3 	-9.5 	-15.4 	-7.5 	-6.7 	-5.1 	-10.1 	-25.2 	-12.6 	-6.0 	-4.8 	-3.5 	-6.7 	-8.7 	-7.3 	-0.4 	3.9 	7.4 	7.0 	25.5 	15.7 	8.0 	: 
A,CNMIGRATRT,LU	1.7 	7.6 	8.7 	5.0 	9.5 	5.3 	1.9 	-1.3 	2.1 	5.0 	3.2 	14.9 	9.3 	14.0 	14.3 	9.7 	2.9 	2.3 	1.7 	3.0 	3.7 	1.2 	-0.9 	0.8 	0.8 	2.5 	5.3 	6.1 	5.7 	9.9 	10.3 	10.2 	10.3 	10.1 	9.4 	10.6 	8.3 	8.6 	9.0 	10.4 	7.9 	7.5 	5.9 	12.0 	9.6 	13.1 	11.3 	12.5 	15.8 	13.2 	15.1 	21.2 	18.9 b	19.0 	19.9 	19.6 	16.2 	15.8 b	16.3 	16.6 	10.7 	13.2 	20.5 	14.0 	11.7 	: 
A,CNMIGRATRT,LV	9.2 	7.2 	7.6 	8.8 	7.6 	5.9 	1.9 	6.6 	6.1 	4.6 	2.9 	4.6 	4.6 	6.5 	5.9 	4.9 	3.5 	4.8 	3.0 	1.2 	1.0 	2.3 	3.0 	3.1 	3.3 	4.7 	5.3 	7.3 	6.0 	-1.5 	-4.9 	-5.7 	-20.5 	-12.6 	-9.1 	-5.5 	-4.1 	-3.9 	-2.4 	-1.7 	-6.9 	-8.2 	-4.0 	-5.1 	-6.8 	-4.9 	-4.0 	-3.6 	-10.3 	-16.1 	-17.0 	-9.7 	-5.8 	-7.1 	-4.3 	-5.4 	-6.2 	-4.0 	-2.5 	-1.8 	-1.7 	-0.2 	11.7 	-1.7 	-2.5 	: 
A,CNMIGRATRT,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.7 e	-17.1 e	: 	0.7 e	: 	: 	: 	: 	: 	2.9 	: 
