freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NR,F,TOTAL,CY	: 	291583 	291900 	293900 	297300 	298200 	301100 	303100 	305900 	307900 	310000 	312900 	317100 	319212 	322300 	254900 b	249168 	248900 	251200 	253100 	254900 	258200 	262907 	263719 	267102 	270429 	273296 	276369 	279097 	282124 	287064 	294656 	302814 	310701 	318440 	325432 	331524 	337118 	342190 	346537 	350842 	354797 	359361 	363583 	368331 	373746.0 	379431.0 	386402.0 	395875.0 	407004.0 	419535.0 	430993 	443018 	443058 	441537 	441559 	442623 	445880 	450423 	455583 	459191 	466924 	476513 	483955 	490771 	498765 
A,NR,F,TOTAL,CZ	4941152 	4928244 	4948987 	4966815 	4995380 	5023767 	5046795 	5066048 	5079721 	5090506 	5101807 	5059168 	5077341 	5101215 	5131518 	5166285 	5201299 	5233740 	5262227 	5288558 	5310984 	5303918 	5310895 	5316340 	5317388 	5319646 	5321474 	5321505 	5323143 	5326892 	5326444 	5303641 	5306546 	5312284 	5314716 	5312697 	5304829 	5297052 	5290395 	5284186 	5277036 	5249667 	5235670 	5230950 	5228205 	5228199.0 	5233925.0 	5243638.0 	5278305.0 	5309105.0 	5325922.0 	5339500 	5347235 	5351776 	5350039 	5361348 	5367513 	5378133 	5390264 	5405606 	5421943 	5323934 b	5332932 	5519006 	5557945 	5554921 
A,NR,F,TOTAL,DE	29345361 	29630616 	29951354 	30219000 	30512921 	30822719 	31125574 	31393339 	31529981 	31746795 	32014629 	31929543 	32135076 	32276124 	32387627 	32387025 	32263124 	32179200 	32136229 	32107392 	32122268 	32176912 	32189833 	32118246 	32000881 	31869535 	31830458 	31855080 	31818689 	32021988 	32442597 	41253250 	41435461 	41674551 	41819609 	41893638 	41992676 	42057327 	42065068 	42032869 	42072699 	42103004 	42165633 	42191801 	42175657 	42147222.0 	42098034.0 	42013740.0 	41943545.0 	41818073.0 	41698651.0 	41097465 b	41097953 	41142770 	41210540 	41362080 	41661561 	41824535 	41948786 	42052522 	42129098 	42128512 	42170339 	42198796 b	42294114 	42335439 
A,NR,F,TOTAL,DK	2300897 	2315982 	2333676 	2352150 	2371255 	2390631 	2409799 	2430202 	2448014 	2460720 	2474425 	2490784 	2505460 	2522727 	2538020 	2550193 	2558469 	2567052 	2577115 	2585949 	2593012 	2595764 	2595330 	2595244 	2594188 	2594036 	2595710 	2598774 	2601258 	2601613 	2604812 	2610078 	2617672 	2626020 	2633200 	2642394 	2658805 	2670184 	2679191 	2688156 	2695898 	2704893 	2714208 	2721084 	2727505 	2734113.0 	2741613.0 	2750422.0 	2763125.0 	2779431.0 	2791452.0 	2804046 	2813740 	2823776 	2834956 	2848701 	2869364 	2888591 	2904717 	2917008 	2925845 	2935188 	2950505 	2983655 	2997558 	3013749 
A,NR,F,TOTAL,EE	674328 	677929 	685707 	692418 	700330 	708120 	714321 	718459 	722117 	727568 	733185 	741791 	749613 	756198 	761913 	767451 	772075 	776846 	782521 	787202 	790617 	795741 	800677 	805761 	810533 	815398 	820097 	825726 	830954 	834270 	836061 	834200 	828123 	807998 	790952 	776811 	765837 	756506 	750075 	742978 	748170 	743650 	739210 	735200 	730800 	727140.0 	722770.0 	718660.0 	716390.0 	714420.0 	712490.0 	709960 	707079 	704007 	700900 	700166 b	699236 	698097 	698049 	699185 	699699 	699153 	698381 	718518 	723074 	720242 
A,NR,F,TOTAL,EL	4285115 	4293142 	4311290 	4348312 	4352132 	4388771 	4397054 	4451418 	4462034 	4504043 	4496139 	4500567 	4523501 	4556373 	4560652 	4586952 	4642909 	4732914 	4768966 	4850568 	4881854 	4936482 	4961078 	4992484 	5017620 	5040100 	5050772 	5070561 	5086737 	5109666 	5138914 	5216182 	5261868 	5293502 	5323509 	5347307 	5374260 	5397100 	5429540 	5457870 	5474106 	5505941 	5507229 	5520990 	5534293 	5551450.0 	5571325.0 	5593763.0 	5612990.0 	5638650.0 	5658424.0 	5669948 	5662522 	5637364 	5613568 	5589628 	5559538 	5546916 	5531125 	5516306 	5503077 	5482584 	5346259 b	5320643 	5292182 	5278241 
A,NR,F,TOTAL,ES	15495960 	15626760 	15865674 	15984967 	16121618 	16279822 	16448322 	16559515 	16848661 	17029108 	17173310 	17398898 	17580396 	17772628 	17957231 	18150004 	18333864 	18521877 	18700859 	18868438 	19023427 	19167940 	19290450 	19394758 	19477810 	19558571 	19625071 	19683096 	19735868 	19778621 	19813442 	19838598 	19925307 	20032645 	20130190 	20221727 	20307916 	20391551 	20478884 	20559311 	20643843 	20741653 	20919754 	21285371 	21622874 	21961051.0 	22290653.0 	22665690.0 	23077456.0 	23358739.0 	23504347.0 	23617694 	23719207 	23699424 	23621034 	23603001 	23612439 	23666286 	23755470 	23902168 	24107382 	24152187 	24198046 	24519768 	24792824 	25037928 
A,NR,F,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	211789008 	: 	: 	: 	: 	214665583 	215368606 be	215814405 e	216499243 e	217101646 e	217555427 e	217901614 e	218225897 e	219376548 b	219652905 e	219945375 b	220341633 	220544882 	221274193 	222042482 	222841116.0 	223515552.0 	224188035.0 	224899187.0 b	225552613.0 	225829427.0 b	225708502 b	226006146 b	226532476 	226753241 be	227029499 be	227335128 e	227612438 be	227856334 e	228187871 	228557256 e	227937507 bep	227911075 ep	228867460 bep	229492073 ep	229985530 ep
A,NR,F,TOTAL,FI	2288381 	2303959 	2317914 	2332974 	2348766 	2357227 	2362646 	2373241 	2387057 	2393611 	2384060 	2378351 	2391875 	2404350 	2416619 	2428572 	2438377 	2444444 	2451299 	2457298 	2464508 	2472935 	2484677 	2498846 	2512686 	2524520 	2532884 	2539778 	2545734 	2552991 	2561623 	2572274 	2585960 	2597700 	2607716 	2617105 	2625125 	2631724 	2638251 	2643571 	2648276 	2651774 	2657304 	2661379 	2666839 	2674534.0 	2683230.0 	2693213.0 	2703697.0 	2714661.0 	2726360.0 	2736860 	2748733 	2760052 	2770906 	2779890 	2785818 	2790970 	2793999 	2794629 	2797030 	2799985 	2805140 	2810493 	2829953 	2845199 
A,NR,F,TOTAL,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29922325 	30077312 	30227980 	30352301 	30473942 	30592988 	30705968 	30822400 	30944296 	31161369 	31400989 	31645924 	31887488 	32120553 	32387008.0 	32638535.0 	32841832.0 	33026963.0 	33202247.0 	33357092.0 	33515819 	33671600 b	33827685 	34120851 b	34283895 	34391005 	34495464 	34611994 p	34739132 	34828670 	34946473 	35109077 	35188809 p	35360111 p	35448530 p
A,NR,F,TOTAL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2342400 e	2325600 e	2309800 e	2290700 e	2276200 e	2277900.0 e	2317400.0 	2315157.0 	2303675.0 	2304622.0 	2327477.0 	2341972 	2353823 	: 	2349126 	1951000 	1940900 	1936700 	1938074 	1932565 	1926579 	1932350 	1918652 	1942537 	1920139 	1923931 
A,NR,F,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2374579 e	2384760 e	2397661 e	2409164 e	2419923 e	2430335 e	2439765 e	2448230 e	2454827 e	2459978 e	2464631 e	2379424 e	2366359 e	2412786 e	2419922 e	2379549 e	2354543 e	2356509 e	2351650 e	2334657 e	2231309 b	2236467 	2236999 	2236884 	2238580.0 	2238554.0 	2237349.0 	2234979.0 	2233029.0 	2228196.0 	2221105 	2213675 	2200305 	2186646 	2170159 	2146424 	2122085 	2090961 	2064873 	2041528 	2019003 	2000012 	1989028 	1986557 	1982195 
A,NR,F,TOTAL,HU	5157001 	5177816 	5198464 	5208343 	5223820 	5238653 	5250423 	5267515 	5286439 	5305610 	5318448 	5334249 	5348576 	5365355 	5381650 	5411727 	5443187 	5469407 	5492842 	5507505 	5520754 	5524686 	5526399 	5523082 	5515266 	5508088 	5501882 	5494519 	5488096 	5481899 	5389919 	5393320 	5397917 	5398707 	5396582 	5395080 	5392007 	5385291 	5377960 	5369020 	5356450 	5349286 	5337873 	5323906 	5312629 	5304434.0 	5292002.0 	5287080.0 	5275839.0 	5267925.0 	5257424.0 	5241821 	5207259 b	5182225 	5152770 	5128422 	5101174 	5076104 	5054972 	5039416 	5025500 	5004102 	4981528 	4974484 	4961249 	4933836 
A,NR,F,TOTAL,IE	1406500 	1402600 	1405900 	1414800 	1422300 	1428500 	1433800 	1440800 	1447200 	1453600 	1464400 	1478900 	1499600 	1523300 	1548100 	1573800 	1598800 	1621400 	1642700 	1668200 	1687700 	1708700 	1728700 	1743900 	1756700 	1767300 	1763217 	1775013 	1773085 	1767175 	1763762 	1770102 	1782776 	1793716 	1801045 	1810405 	1822709 	1840254 	1859395 	1878331 	1900701 	1927201 	1961797 	1994964 	2025689 	2062322.0 	2104707.0 	2167328.0 	2231011.0 	2268664.0 	2288454.0 	2301455 	2315288 	2326317 	2342002 	2364285 	2387145 	2424201 	2451343 	2493497 	2530888 	2557709 	2604045 	2666848 	2708306 	2749740 
A,NR,F,TOTAL,IS	86082 	87714 	89410 	90989 	92606 	94332 	95906 	97525 	98979 	100180 	100886 	101268 	102568 	104343 	105726 	107158 	108509 	109429 	110269 	111272 	112509 	113744 	115182 	116852 	118447 	119569 	120482 	121501 	123201 	125356 	126353 	127443 	129480 	130786 	132113 	133087 	133648 	134641 	135937 	137626 	139384 	141491 	143125 	144184 	145169 	146407.0 	148689.0 	151096.0 	154563.0 	157300.0 	157694.0 	158446 	159211 	160419 	162353 	163914 	165259 	167316 	170850 	174154 	177193 	179749 	183153 	187800 	187015 	189712 
A,NR,F,TOTAL,IT	25526600 	25705200 	25869700 	26059500 	26257200 	26498800 	26710200 	26916800 	27106400 	27268300 	27425300 	27567700 	27689524 	27896980 	28088587 	28286439 	28451492 	28598245 	28725411 	28837685 	28929293 	28994072 	29036636 	29062838 	29069034 	29087244 	29097656 	29101045 	29113808 	29138062 	29166531 	29196748 	29218960 	29249194 	29266001 	29275445 	29283903 	29309590 	29332801 	29345361 	29360536 	29384366 	29404981 	29499330 	29708271 	29916060 	30038703 	30155967 	30417328 	30639337 	30787289 	30933668 	31014838 	31083410 	31104396 	31067182 	30970668 	30888080 	30781300 	30685478 b	30591392 	30369987 	30211177 	30182369 	30124502 	30071747 
A,NR,F,TOTAL,LI	8342 	8498 	8695 	8981 	9223 	9460 	9704 	9969 	10217 	10592 	10871 	10734 	10991 	11298 	11640 	11855 	12036 	12197 	12470 	12729 	12913 	12696 	13228 	13376 	13520 	13602 	13833 	14004 	14187 	14389 	14533 	14567 	15011 	15332 	15535 	15731 	15823 	15967 	16113 	16387 	16650 	16825 	17088 	17232 	17413 	17550.0 	17701.0 	17825.0 	17908.0 	17998.0 	18125.0 	18263 	18433 	18591 	18729 	18813 	18962 	19064 	19224 	19353 	19532 	19687 	19812 	19989 	20156 	20656 
A,NR,F,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1656091 	1676636 	1694750 	1710641 	1725253 	1739999 	1753156 	1767045 	1779573 	1792051 	1801928 	1811955 	1823260 	1837425 	1852487 	1866667 	1882381 	1900433 	1917414 	1935849 	1946235 	1950992 	1953537 	1947924 	1937924 	1925783 	1913647 	1902172 	1890607 	1878840 	1867773 	1856068 	1841083 	1830399 	1814911 	1792956.0 	1761372.0 	1743189.0 	1725186.0 	1710504.0 	1691777.0 	1645365 	1620130 	1605225 	1591447 	1580254 	1563839 	1544399 	1526156 	1517016 	1510500 	1505796 	1499399 	1521463 	1519986 	1516981 
A,NR,F,TOTAL,LU	158478 	159408 	161500 	163600 	165100 	167500 	169100 	170215 	171000 	171500 	172307 	173291 	175227 	176670 	178490 	180167 	181557 	182372 	183289 	183925 	185475 	186600 	187550 	187675 	187877 	188100 	188700 	189800 	190888 	192270 	193948 	196056 	198398 	200884 	203640 	206487 	209588 	212161 	214687 	217009 	219985 	222700 	225226 	227291 	230252 	233074.0 	236986.0 	240395.0 	244192.0 	248665.0 	252660.0 	257221 	263033 b	268627 	274563 	280986 	287056 	294026 b	299425 	305174 	311144 	315274 	320333 	328365 	333776 	339161 
A,NR,F,TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1278843 	1285366 	1293006 	1301605 	1312548 	1322646 	1331443 	1338420 	1345557 	1351568 	1354307 	1356752 	1361170 	1367779 	1375340 	1382940 	1391416 	1402581 	1416322 	1427415 	1427609 	1421705 	1414390 	1386941 	1365402 	1346259 	1330734 	1318111 	1305306 	1293810 	1284827 	1270420 	1254708 	1244563 	1232055 	1217615.0 	1205816.0 	1195049.0 	1184769.0 	1170186.0 	1149573.0 	1126666 	1110001 	1097245 	1084423 	1074889 	1064658 	1054433 	1044738 	1035059 	1026719 	1017998 	1006700 	1010687 	1003142 	997641 
A,NR,F,TOTAL,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16930 	17045.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19475 	19512 
A,NR,F,TOTAL,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1899612 	1894500 	1890261 	1885004 	1879021 	1875595.0 	1870568.0 	1860080.0 	1855244.0 	1852581.0 	1850208.0 	1848324 	1847816 	1847151 	1846128 	1493516 be	1477980 e	1465618 e	1446229 e	1424739 e	1402708 e	1381477 e	1346864 e	1325162 ep	1293798 ep	1263090 ep
A,NR,F,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	306100 	307540 	308794 	309831 	311009 	311644.0 	310980.0 	312066.0 	312344.0 	313075.0 	313778.0 	313725 	313949 	314092 	314366 	314577 	314484 	314635 	314618 	314470 	314318 	313875 	312509 	312004 	316854 	316677 
A,NR,F,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	966976 	977388 	984009 	994484 	1000065 	1005439 	1010106 	1014875 	1019035 	1007766 	1011232 	1014051.0 	1016116.0 	1018202.0 	1019938.0 	1021815.0 	1023907.0 	1026404 	1027868 	1029156 	1030928 	1032654 	1033677 	1035089 	1036018 	1036932 	1036539 	1033590 	926099 b	922921 	921508 	919916 
A,NR,F,TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	157975 	159543 	160549 	162210 	163269 	164086 	: 	169276 	170529 	173032 	174138 	175267 	176872 	178535 	183969 b	185938 	187806 	189690 	191354 	191434 	192953 	194208 	195277 	196331 	197726 	199278 	200460 	201768 	203088.0 	204161.0 	204097.0 	205098.0 	206319.0 	207824.0 	208584 	209851 	211440 	213935 	218310 	223127 	227632 	234099 	240787 	248296 	248511 	249705 	257230 	264697 	269303 
A,NR,F,TOTAL,NL	5731102 	5801779 	5883048 	5966151 	6040594 	6121740 	6198911 	6273255 	6344070 	6415386 	6492540 	6569734 	6645353 	6712092 	6768924 	6827479 	6896703 	6942948 	6990658 	7040084 	7096734 	7160112 	7204263 	7236953 	7270437 	7304213 	7344892 	7390802 	7441337 	7488650 	7534092 	7590944 	7648728 	7703914 	7755666 	7796640 	7831600 	7870304 	7914118 	7966954 	8017633 	8077220 	8133318 	8177101 	8212118 	8239547.0 	8256803.0 	8269478.0 	8293326.0 	8329391.0 	8371513.0 	8412317 	8447477 	8472236 	8494904 	8527868 	8561985 	8606405 	8654043 	8701077 	8759554 	8788879 	8845204 	8960982 	9022174 	9065576 
A,NR,F,TOTAL,NO	1789949 	1803627 	1818629 	1832860 	1846436 	1860591 	1875388 	1892519 	1908839 	1925056 	1941184 	1954605 	1969394 	1985270 	1998478 	2011310 	2022234 	2032090 	2041301 	2049772 	2057040 	2064760 	2073540 	2082035 	2088834 	2095753 	2102788 	2111585 	2122134 	2132604 	2139836 	2148836 	2160275 	2172747 	2186187 	2198153 	2209212 	2220570 	2232493 	2245770 	2261357 	2272135 	2282132 	2296145 	2308408 	2322293.0 	2338238.0 	2355346.0 	2377481.0 	2404199.0 	2431447.0 	2459456 	2486999 	2515367 	2541622 	2566978 	2588874 	2609187 	2627248 	2643139 	2661018 	2672110 	2687938 	2723514 	2754489 	2775143 
A,NR,F,TOTAL,PL	15253800 	: 	: 	: 	: 	16132500 	: 	: 	: 	: 	16793500 	: 	: 	: 	: 	17384456 	: 	: 	: 	: 	18159646 	: 	: 	: 	: 	18989503 	: 	: 	: 	: 	19497908 	19577208 	19647898 	19710130 	19758399 	19802557 	19823369 	19842642 	19858815 	19868726 	19715504 b	19716616 	19717034 	19711782 	19704178 	19703582.0 	19703200.0 	19698704.0 	19704140.0 	19720950.0 	19610632.0 b	19633018 	19636496 	19636442 	19613892 	19608451 	19590169 	19595127 	19596388 	19592436 	19584757 	19131216 bep	19043758 ep	18980357 ep	18914999 ep	18855180 ep
A,NR,F,TOTAL,PT	4603250 	4634976 	4675540 	4703980 	4713080 	4721610 	4699810 	4667200 	4632820 	4593720 	4539570 	4553892 	4546370 	4556560 	4568680 	4680740 	4876530 	4915990 	4958610 	4999760 	5042890 	5088051 	5120752 	5148652 	5165938 	5186083 	5193233 	5195289 	5190484 	5185185 	5176677 	5163888 	5154852 	5158868 	5169497 	5186730 	5203747 	5223673 	5248376 	5274465 	5304872 	5344316 	5375295 	5407252 	5425721 	5440950.0 	5453175.0 	5468193.0 	5483592.0 	5496775.0 	5509734.0 	5519178 	5520561 	5500595 	5478747 	5460453 	5449089 	5436542 	5433139 	5434882 	5448405 	5451426 	5453855 	5495973 	5556158 	5609359 
A,NR,F,TOTAL,RO	: 	: 	: 	: 	: 	: 	: 	: 	10050227 	10127043 	10253668 	10360995 	10458265 	10550665 	10627776 	10735500 	10880755 	10979838 	11076768 	11173278 	11214574 	11288141 	11359888 	11411665 	11444508 	11492093 	11538970 	11599025 	11653750 	11709212 	11760564 	11752489 	11596272 	11587514 	11579217 	11568996 	11548426 	11518907 	11499014 	11487412 	11475444 	11467093 	11169297 	11088602 	11036295 	10965209.0 	10905183.0 	10840507.0 	10586266.0 	10488417.0 	10414274.0 	10366110 	10318889 	10258594 	10201259 	10163573 	10110852 	10041869 	9978614 	9914008 	9868177 e	9814072 	9802984 e	9808880 e	9796206 e	9752617 e
A,NR,F,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3876555 	3865866 	3855284 	3854516 	3848217 	3837398 	3830529.0 	3814931.0 	3800809.0 	3784417.0 	3768404.0 	3753102.0 	3720624 b	3702229 	3684497 	3666896 	3649994 	3630114 	3611245 	3590852 	3570953 	3552066 	3525575 	3489070 	3411719 b	3392796 	3372690 
A,NR,F,TOTAL,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78191815 	77964706 	77727318 	77561598 	77144320 	76871457.0 	76590007.0 	76371980.0 	76291763.0 	76262345.0 	76275129.0 	76809957 	: 	: 	77120043 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
