freq,spdepb,spdepm,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,OLD,TOTAL,MEUR_KP15,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	308.66 	340.36 	346.2 	355.31 	355.49 	380.12 	398.18 	419.8 	445.15 	466.58 	512.64 	500.03 	520.65 	529.71 	547.73 	561.1 	595.47 	630.98 	643.32 	652.17 	681.84 	712.27 	706.96 	704.47 
A,OLD,TOTAL,MEUR_KP15,NL	: 	: 	: 	: 	: 	35221.19 	35991.25 	36773.88 	38659.62 	40417.36 	42182.76 	43325.9 	45231.88 	46828.43 	48059.65 	48365.87 	50509.35 	51479.65 	51779.37 	54240.05 	56674.01 	57284.22 	58128.86 	58408.46 	60886.72 	64241 	65374.18 	66011.37 	66329.14 	67677.09 	69834.59 	69707.59 	67112.99 	69685.57 
A,OLD,TOTAL,MEUR_KP15,NO	8663.18 	8922.9 	9199.11 	9401.32 	9625.21 	9801.66 	10184.7 	10503.11 	11145.75 	11570.7 	11765.12 	12004.26 	12247.86 	12697.73 	13146.45 	13810.57 	14280.39 	15079.8 	15920.6 	16607.7 	17407.88 	19044.38 	20763.15 	22112 	23647.46 	24653.49 	25382.11 	25983.36 	26522.19 	27160.14 	27455.6 	28356.66 	28680.42 	29508.49 
A,OLD,TOTAL,MEUR_KP15,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16837.67 	18351.68 	18666.84 	19382.59 	19530.85 	19614.07 	21058.09 	21401.95 	22411.69 	24666.74 	25845.86 	26822.03 	28794.51 	31142.21 	32415.39 	34064.61 	35539.14 	36287.61 	39532.83 	42095.91 	44172.94 	44832.09 	43782.76 	48256.25 
A,OLD,TOTAL,MEUR_KP15,PT	: 	: 	: 	: 	: 	8349.41 	8837.36 	9052.6 	9787.98 	10558.88 	11317.99 	12130.54 	12684.27 	13169.05 	14178.39 	14969.98 	15395.45 	15720.52 	16431.89 	17670.3 	17991.9 	18617.59 	18265.38 	19778.04 	19971.24 	19589.32 	19703.41 	19810.35 	20178.53 	20646.74 	21062.83 	21124.23 	21169.9 	21236.13 
A,OLD,TOTAL,MEUR_KP15,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3551.55 e	3828.91 e	4352 e	4226.49 e	4819.41 e	5224.56 e	5680.71 e	6805.81 e	8870.69 e	10270.25 e	10027.25 e	10149.01 e	9979.69 e	10131.77 e	10458.09 e	10907.24 e	11344.42 	12550.33 	13175.34 	13690.27 	15502.47 	16313.89 	15998.22 	16460.17 
A,OLD,TOTAL,MEUR_KP15,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3023.97 	3280.25 	3108.61 	3073.08 	3247.15 	3229.39 	3246.22 	3104.02 	3067.51 	2980.6 	3092.43 	3187.82 	3269.11 	3225.06 	3013.97 	3260.35 
A,OLD,TOTAL,MEUR_KP15,SE	: 	: 	: 	25956.62 	25933.01 	25895.24 	26086.87 	26386.21 	26495.59 	26549.85 	26544.67 	26484.48 b	27402.55 p	26879.25 p	27390.32 p	28476.64 p	28994.47 p	29884.77 p	32069.22 p	34300.62 p	35035.82 	36312.71 	38158.08 	40648.46 	40757.43 	42045.87 	43447.07 	44242.49 p	44293.71 p	44750.82 p	46128.59 p	46991.38 p	47988.02 p	47354.85 p
A,OLD,TOTAL,MEUR_KP15,SI	: 	: 	: 	: 	: 	: 	1761.86 	1875.39 	1990.19 	1997.84 	2094.41 	2182.65 	2314.56 	2372.88 	2459.87 	2200.87 	1942.42 	2072.15 	2059.04 	2267.15 	2290.43 	2327.69 	2320.92 	2395.19 	2488.71 	2606.26 	2720.76 	3212.37 	3326.36 	3439.53 	3655.29 p	3750.92 p	3794.34 	3778.86 
A,OLD,TOTAL,MEUR_KP15,SK	: 	: 	: 	: 	: 	2198.97 	2323.24 	2487.99 	2646.9 	2631.39 	2707.66 	2815.16 	3010.6 	3100.5 	3222.38 	3421.23 	3501.81 	3734.86 	3800.03 	4042.65 	4181.12 	4212.52 	4328.46 	4482.1 	4828.97 	5040.78 	5093.17 	5267.75 	5440.23 	5605.62 	5814.68 	5891.58 	5508.88 	6052.49 
A,OLD,TOTAL,MEUR_KP15,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11128.86 	11819.11 	13410.97 	16838.24 	19801.48 	22020.75 	23755.43 	26505.37 	26677.65 	30761.1 	32770.27 	34094.88 	36308.82 	38712.28 	40408.99 	42602.41 	48202.12 	47790.9 	50528.62 	49690.55 	49508.37 	47995.62 	42726.1 	53324.23 
A,OLD,TOTAL,MEUR_KP15,UK	: 	: 	: 	: 	: 	129966.39 	135055.75 	144519.31 	145398.44 	154079.86 	171412.21 	172345.9 	168750.87 	174156.19 	179331.79 	187745.02 	192547.02 	206333.6 	211768.67 	225218.8 	233631.63 	237461.89 	249425.25 	253970.9 	257786.96 	265239.06 	255021.1 	268781.7 	271008.92 p	: 	: 	: 	: 	: 
A,OLD,TOTAL,MIO_EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	693.83 p	767.73 p	773.05 p	880.01 p	947.84 	: 
A,OLD,TOTAL,MIO_EUR,AT	9968.02 	10876.62 	11842.68 	13302.81 	14206.87 	15360.7 	15689.96 	15625.3 	16108.99 	17085 	18058.82 	18872.66 	19498.24 	20376.61 	21233.92 	22236.62 	23622.33 	24942.13 	26499.28 	27812.56 	28910.4 	29864.97 	31497.75 	32987.53 	34785.77 	36255.36 	37438.78 	38715.04 	40396.31 	42991.04 	44579.78 	46856.76 	49683.73 	54281.11 
A,OLD,TOTAL,MIO_EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	782.33 	844.06 	885.85 	878.39 	880.57 	1037.95 	1114.91 	1179.3 	1240.36 	1365.52 	1709.08 
A,OLD,TOTAL,MIO_EUR,BE	10889.3 	11979.34 	12997.23 	14785.8 	15694.98 	15908.86 	16403.38 	16330.33 	16824.24 	17424.6 	17948.72 	18705.99 	19571.52 	20256.28 	21264.36 	22237.42 	23290.64 	23774.44 	26053.18 	27699.88 	28856.1 	30788.11 	31223.6 	32826.73 	34167.66 	36257.59 	36899.69 	38885.4 	40771.54 	42464.38 	45017.41 	46039.87 	51018.16 	55925.59 
A,OLD,TOTAL,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1281.08 	1408.71 	1561.21 	1878.26 	2312.85 	2511.23 	2573.69 	2572.54 	2750.26 	2890.27 	3025.19 	3136.49 	3257.93 	3442.44 	3550.58 	3946.33 	4371.2 	5737.44 	7142.43 
A,OLD,TOTAL,MIO_EUR,CH	12091.98 	13120.91 	13965.87 	16004.4 	17734.74 	19587.72 	19820.55 	19750.1 	21027.03 	22218.34 	23658.77 	25512.92 	26675.42 	26735.25 	25178.28 	25760.06 	25901.82 	26307.17 	28265.96 	31616.56 	35424.02 	41545.77 	44048.18 	44408.88 	46546.88 	54629.12 	54836.79 	55027.86 	54283.71 	58085.91 	61957.12 	62825.29 	67030.66 p	72019.05 p
A,OLD,TOTAL,MIO_EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	442.25 	482.08 	547.91 	614.69 	649.62 	714.83 	770.67 	828.5 	921.99 	987 	970.31 	1052.48 	1134.7 	1199.9 	1257.16 	1311.54 	1337.88 	1395.83 	1448.51 	1511.88 	1572.23 	1658.59 	1765.08 	1877.94 
A,OLD,TOTAL,MIO_EUR,CZ	: 	: 	: 	: 	: 	2338.39 	2775.77 	3200.12 	3451.2 	3556.83 	3850.8 	4229.39 	5043.44 	5078.45 	5392.38 	6274.22 	7001.08 	7851.16 	9527.29 	9840.67 	10575.07 	11526.2 	11759.21 	11722.01 	11329.58 	11710.26 	12110.35 	12995.74 	14094.14 	15449.57 	16610.8 	17601.96 	20224.09 	24144.13 
A,OLD,TOTAL,MIO_EUR,DE	: 	100001.88 	113216.83 	126016.98 	135787.73 	148690.54 	151227.35 	152588.74 	157442.23 	164150.39 	171019.07 	179466.89 	186447.85 	192820.72 	198062.07 	202623.69 	207060.2 	211909.99 	217395.11 	224216.18 	228177.73 	229665 	234583.42 	240248.19 	252757.11 	265407.27 	276951.65 	287743.11 	299505.3 	315431.47 	329643.04 	340236.6 	354482.93 	373375.57 p
A,OLD,TOTAL,MIO_EUR,DK	6305.68 	6630.3 	6983.4 	7522.02 	9510.27 	10005.33 	10252.18 	10314.87 	10554.38 	11002.68 	11428.46 	12063.93 	12601.08 	13262.67 	13862.02 	15163.11 	15997.71 	18196.26 b	18677.62 	20114.05 	20806.3 	21834.11 	22756.07 	25341.26 	27123.18 	27345.4 	26834.65 	28417.85 	29395.85 	30535.96 	31041.78 	30813.75 	31602.26 	32458.8 p
A,OLD,TOTAL,MIO_EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	337.78 	345.41 	301.91 	334.77 	372.66 	416.8 	462.26 	551.52 	636.62 	778.9 	831.38 	952.96 	825.86 	862.56 	898.06 	947.72 	1015.04 	1055.69 	1099.56 	1196.8 	1299.16 	1422.39 	1503.81 	1617.46 	1854.12 
A,OLD,TOTAL,MIO_EUR,EL	4804.24 	4997.43 	5205.61 	5678.54 	6074.16 	6610.79 	7479.99 	8270.14 	8996.59 	9772.44 	11503.55 b	12709.84 	13721.53 	14902.52 	16608.05 	18127.04 	19863.37 	21309.92 	23926.26 	25509.32 	25192.14 	25911.03 	26183.35 	23335.32 	23902.62 	25237.67 	24801.92 	24031.44 	23562.52 	24026.51 	23747.91 	24117.54 	24035.71 	25406.72 p
A,OLD,TOTAL,MIO_EUR,ES	26379.12 	29881.18 	32748.96 	31854.72 	31860.6 	34024.99 	37343.76 	38274.96 	39942.54 	42374.51 	37468.75 	39234.64 	41578.45 	43800.73 	45824.89 	48897.44 	52376.1 	58680.01 	62028.14 	65710.56 	69238.22 	72037.25 	75232.83 	80200.71 	83404.94 	86751.21 	90234.8 	93630.21 	98831.27 	104111.31 	108168.27 	114481 	121691.33 	136601.61 p
A,OLD,TOTAL,MIO_EUR,FI	6430.95 	6886.3 	6437.2 	5819.8 	6471.41 	7303.95 	7444.89 	7599.37 	7650.81 	8032.7 	8326.95 	8916.07 	9491.94 	9946.49 	10390.32 	10978.25 	11704.42 	12465.52 	13099.85 	14551.24 	15664.31 	16759.43 	18264.58 	19752.72 	20916.11 	21649.62 	22894.08 	24036.76 	24886.5 	25846.12 	26840.49 	27434.77 	28426.36 	30765.19 
A,OLD,TOTAL,MIO_EUR,FR	86506.67 	91547.05 	99903.24 	109368.16 	115420.79 	122079.45 	125689.94 	129799.1 	134977.7 	141597.99 	146324.34 	152860.54 	158517.92 	165080.1 	173498.23 	181863.13 	192738.72 	204401.84 	215365.64 	225712.92 	234162.13 	244376.35 	253078.51 	262010.05 	267607.65 	272788.84 	277992.17 	283421.76 	290787 	297625.85 	305453.11 	310268.86 	324367.32 	341057.43 p
A,OLD,TOTAL,MIO_EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2437.99 e	2525.8 e	2536.13 e	2478.41 e	2422.57 e	2449.43 e	2478.61 e	2459.69 e	2586.41 e	2681.73 e	2839.25 e	3000.73 e	3094.98 	3201.72 e	3417.58 	3909.65 
A,OLD,TOTAL,MIO_EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	2777.72 	2971.86 	3417.19 	4146.47 	4478.35 	4953.89 	5513.43 	5617.31 	6449.47 	7093.4 	6314.36 	6774.69 	7164.98 	7507.44 	7837.93 	7696.09 	7843.51 b	7956.04 	8247.21 	8295.78 	8356.84 	8446.35 	8767.3 	9103.8 	11340.11 
A,OLD,TOTAL,MIO_EUR,IE	1152.68 	1204.9 	1264.53 	1256.14 	1291.2 	1266.95 	1273.89 	1431.56 	1480.09 	1575.99 	3738.56 b	4175.8 	4220.04 	4341.48 	5326.78 	5910.27 	6633.15 	8181.74 	8969.5 	9340.62 	10591 	10692.25 	11398.6 	11475.14 	11765.56 	12170.82 	12410.06 	13245.38 	13594.65 	14653.71 	14987.14 	15811.49 	16173.6 	17824.64 
A,OLD,TOTAL,MIO_EUR,IS	157.6 	183.91 	187.37 	189.17 	190.23 	197.46 	210.59 	242.21 	275.23 	314.75 	378.74 	347.8 	400.26 	444.58 	463.95 	557.79 	554.39 	651.39 	454.11 	421.61 	440.88 	531 	575.35 	616.62 	729.46 	846.86 	1058.19 	1393.57 	1459.95 	1517.31 	1539.13 	1653.31 	1860.21 	2048.8 
A,OLD,TOTAL,MIO_EUR,IT	81548.14 	89967.81 	97277.4 	89901.81 	92874.4 	61962.85 	77815.21 	85342.08 	88378.38 	93370 	97133 	101802 	106707 	111632 	116151 	120270 	124624 	130911 	137228 	144212 	149135 	156340 	163679 	173092 	179589 	186235 	189212 	193511 	197293 	189689 	196026 	201284 p	211575 p	229901 p
A,OLD,TOTAL,MIO_EUR,LT	: 	: 	: 	: 	: 	: 	351.49 e	493.36 e	595.93 e	684.66 e	783.74 e	791.48 e	834.07 e	874.64 e	935.72 e	1048.03 e	1155.25 e	1434.13 e	1839.1 e	1958.77 e	1818.03 e	1843.6 e	1972.3 e	1988.36 e	1994.01 e	2020.29 e	2098.48 e	2251.29 e	2543.91 e	2745.53 e	3001.08 p	3268.02 p	3725.9 	4234.5 
A,OLD,TOTAL,MIO_EUR,LU	707.12 	843.14 	914.81 	1038.02 	1136.01 	1248.97 	1272.31 	1318.1 	1338.9 	1426 	1496 	912.9 	1002.95 	1095.14 	1151.65 	1248.82 	1321.23 	1385.46 	1474.01 	1597.9 	1656.33 	1775.78 	1920.24 	2069.97 	2283.8 	2546.21 	2662.64 	2892.54 	3076.56 	3303.24 	3596.29 	3878.04 	4188.22 	4757.83 
A,OLD,TOTAL,MIO_EUR,LV	: 	: 	: 	: 	: 	: 	: 	440.51 e	516.35 e	626.67 e	688.59 e	678.58 e	693.74 e	636.34 e	642.34 e	695.57 e	835.54 e	954.17 e	1178.06 e	1326.42 e	1552.07 e	1505.48 e	1571.56 e	1612.21 e	1600.72 e	1616.56 e	1649.14 e	1720.49 e	1865.05 e	1969.72 p	2113.76 p	2241.52 p	2512.91 e	2864.87 e
A,OLD,TOTAL,MIO_EUR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	236.79 	246.42 	258.6 	264.95 	274.73 	283.85 	313.84 	364.1 p
A,OLD,TOTAL,MIO_EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	492.95 	528.47 	577.19 	: 	: 	: 	: 	: 	: 
A,OLD,TOTAL,MIO_EUR,MT	: 	: 	: 	: 	: 	145.16 	169.57 	186.48 	200.92 	216.51 	238.94 	272.68 	277.69 	276.54 	283.97 	310.53 	334.29 	357.26 	393.86 	422.42 	476.35 	474.84 	506.83 	520.81 	540.26 	561.1 	600.68 	641.65 	661.98 	686.24 	729.21 	772.02 	804.35 	848.96 
A,OLD,TOTAL,MIO_EUR,NL	18993.22 	19890.51 	21303.39 	23149.53 	23547.46 	24975.7 	25369.51 	25687.29 	27406.58 	29459 	31713 	33802 	36731 	39061 	40670 	41673 	44723 	46708 	48073 	50293 	53481 	55053 	56621 	57860 	60810 	64241 	65788 	67694 	69566 	72851 	76839 	79933 	82351 	91309 
A,OLD,TOTAL,MIO_EUR,NO	5277.7 	5579.76 	5856.06 	5924.15 	6087.65 	6429.98 	6866.12 	7425.07 	7701.82 	8332.41 	8963.14 	9509.53 	10611.06 	10663.93 	10721.59 	11931.22 	12587.59 	13600.02 	14605.72 	14782.18 	17305.17 	19847.67 	22939.54 	24033.53 	24668.8 	24653.49 	25131.08 	26209.67 	26751.34 	27431.47 	26203.63 	29433.07 	31547.31 	30436.53 
A,OLD,TOTAL,MIO_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12290.82 	15166.93 	15095.69 	13852.35 	14165.33 	16371.47 	18477.42 	19875.99 	23424.48 	21551.57 	25108.48 	26405.75 	28790.77 	31153.11 	32451.04 	34064.61 	33885.86 	36159.52 	40029.37 	43248.91 	45396.53 	47343.58 	51333.97 	63970.9 
A,OLD,TOTAL,MIO_EUR,PT	2549.11 	3198.95 	3970.63 	4255.87 	4501.32 	5389.46 	5896.64 	6168.26 	6744.6 	7530.7 	8407.68 	9386.37 	10188.64 	10945.19 	12095.16 	13230.62 	14043.43 	14738.31 	15805.34 	16767.52 	17333.58 	18112.87 	17852.21 	19565.03 	19854.21 	19589.32 	19943.99 	20408.03 	21147.3 	21856.43 	22546.28 	23066.18 	24634.14 	25819.73 
A,OLD,TOTAL,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2060.54 e	2316.57 e	2639.27 e	2513.12 e	3013.58 e	3943.49 e	4654.26 e	6362.55 e	8442.68 e	8832.21 e	9348.71 e	9734.63 e	9477.51 e	9913.33 e	10315.03 e	10907.24 e	11549.19 	12899.23 	13947.28 	15071.21 	17175.03 	18602.4 	20614.35 	23158.64 
A,OLD,TOTAL,MIO_EUR,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2951.4 	3007.53 	2783.48 	3072.65 	3132.37 	3319.94 	3285.69 	3104.02 	3046.07 	3101.1 	3363.55 	3542.72 	3695.67 	3837.76 	4014.7 	4879.41 
A,OLD,TOTAL,MIO_EUR,SE	: 	: 	: 	17564.33 	17975.47 	18175.61 	20443.23 	20746.95 	20386.5 	21071.02 	22330.44 	20912.15 b	22422.96 p	22730.98 p	23409.69 p	24241.88 p	25143.72 p	26477.01 p	28160.62 p	27709.41 p	31944.26 	35632.57 	39304.35 	42604.06 	41251.42 	42045.87 	43557.86 	44584.49 p	43189.03 p	43262.41 p	46018.81 p	49486.62 p	51166.27 p	50096.7 p
A,OLD,TOTAL,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	1172.08 	1289.56 	1426.71 	1460.36 	1557.15 	1665.64 	1829.87 	1913.61 	2004.99 	1831.55 	1657.72 	1836.54 	1933.79 	2140.35 	2208.14 	2288.19 	2315 	2411.11 	2501.85 	2606.26 	2723.46 	3270.42 	3457.08 	3640.12 	3896.06 p	4150.47 p	4536.29 	4878.47 
A,OLD,TOTAL,MIO_EUR,SK	: 	: 	: 	: 	: 	775.95 	862.67 	983 	1066.94 	1040.42 	1198.66 	1293.51 	1446.47 	1636.26 	1893.86 	2151.27 	2400.66 	2889.51 	3319.86 	3683.02 	3849.89 	4022.53 	4272.67 	4481.96 	4829.79 	5040.78 	5085.38 	5332.23 	5613.72 	5912.3 	6268.16 	6545.13 	6774.27 	8193.19 
A,OLD,TOTAL,MIO_EUR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9188.99 	7600.64 	9156.87 	12052.47 	15001.6 	19139.78 	21029.02 	25322.43 	26478.1 	28246.99 	34891.49 	33304.56 	38691.76 	39994.05 	39157.11 	42602.41 	46489.49 	41525.99 	36198.7 	36635.35 	32442.34 	29213.97 	28469.68 	39025.34 
A,OLD,TOTAL,MIO_EUR,UK	63649.34 	73586.81 	77360.4 	77991.9 	81478.31 	79536.83 	87148.77 	110560.16 	115610.66 	126832.38 	154037.87 	152908.73 	149894.65 	143565.66 	154017.31 	163985.89 	173966.23 	190458.3 	174548.21 	167779 	183648.48 	189922.02 	217169.58 	214557.16 	232626.96 	265239.06 	228746.27 	229243.91 	234430.84 p	: 	: 	: 	: 	: 
A,OLD,TOTAL,PC_GDP,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.33 p	5.52 p	5.78 p	5.77 p	5.25 	: 
A,OLD,TOTAL,PC_GDP,AT	: 	: 	: 	: 	: 	8.37 	8.44 	8.36 	8.31 	8.41 	8.5 	8.6 	8.66 	8.84 	8.83 	8.81 	8.88 	8.84 	9.08 	9.72 	9.83 	9.69 	9.95 	10.27 	10.54 	10.6 	10.53 	10.54 	10.54 	10.86 	11.72 	11.53 	11.06 	11.36 
A,OLD,TOTAL,PC_GDP,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.71 	6.03 	5.99 	5.68 	5.42 	5.98 	6.09 	6.64 	6.2 	5.85 	6.7 
A,OLD,TOTAL,PC_GDP,BE	: 	: 	: 	: 	: 	7.22 	7.46 	7.32 	7.28 	7.19 	7 	7.08 	7.16 	7.2 	7.16 	7.17 	7.16 	6.92 	7.41 	7.97 	7.94 	8.13 	8.05 	8.32 	8.44 	8.73 	8.61 	8.77 	8.87 	8.86 	9.71 	9.1 	9.09 	9.28 
A,OLD,TOTAL,PC_GDP,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.33 	5.14 	4.81 	5.04 	6.18 	6.56 	6.2 	6.09 	6.54 	6.72 	6.61 	6.43 	6.21 	6.15 	5.8 	6.38 	6.13 	6.67 	7.56 
A,OLD,TOTAL,PC_GDP,CH	: 	: 	: 	: 	: 	7.26 	7.39 	7.59 	7.75 	7.95 	7.82 	7.97 	8.12 	8.34 	7.74 	7.66 	7.36 	7.34 	7.3 	7.92 	7.83 	8.06 	8.25 	8.35 	8.49 	8.73 	8.82 	8.94 	8.84 	9.01 	9.52 	9.12 	8.51 p	8.71 p
A,OLD,TOTAL,PC_GDP,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.09 	4.15 	4.53 	4.78 	4.66 	4.75 	4.74 	4.71 	4.85 	5.28 	4.99 	5.3 	5.82 	6.65 	7.19 	7.31 	7.04 	6.87 	6.64 	6.46 	7.03 	6.46 	5.95 	5.79 
A,OLD,TOTAL,PC_GDP,CZ	: 	: 	: 	: 	: 	5.05 	5.2 	5.8 	5.74 	5.79 	5.71 	5.56 	5.74 	5.71 	5.57 	5.68 	5.62 	5.65 	5.89 	6.59 	6.63 	6.92 	7.18 	7.3 	7.13 	6.87 	6.76 	6.61 	6.6 	6.73 	7.54 	7.15 	7.05 	7.57 
A,OLD,TOTAL,PC_GDP,DE	: 	6.59 	6.84 	7.1 	7.27 	7.5 	7.66 	7.79 	7.84 	7.9 	8.03 	8.17 	8.39 	8.6 	8.64 	8.71 	8.53 	8.34 	8.4 	8.99 	8.72 	8.36 	8.38 	8.38 	8.47 	8.6 	8.67 	8.63 	8.72 	8.92 	9.55 	9.24 	8.89 	8.85 p
A,OLD,TOTAL,PC_GDP,DK	5.79 	5.89 	5.91 	6.16 	7.23 	7.08 	6.94 	6.75 	6.68 	6.59 	6.42 	6.55 	6.63 	6.85 	6.83 	7.11 	7.08 	7.78 b	7.7 	8.66 	8.55 	8.8 	8.95 	9.76 	10.21 	10.05 	9.51 	9.65 	9.77 	9.9 	9.95 	8.98 	8.3 	8.67 p
A,OLD,TOTAL,PC_GDP,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.25 	5.6 	4.32 	4.28 	4.26 	4.26 	4.07 	4.06 	3.88 	4.69 	5.88 	6.46 	4.93 	4.77 	4.69 	4.65 	4.83 	4.76 	4.52 	4.53 	4.56 	5.11 	4.78 	4.46 	4.83 
A,OLD,TOTAL,PC_GDP,EL	: 	: 	: 	: 	: 	6.41 	6.66 	6.75 	7.21 	7.26 	8.35 b	8.62 	8.64 	8.56 	8.79 	9.31 	9.27 	9.29 	10.02 	10.89 	11.27 	12.73 	14.08 	13.1 	13.58 	14.39 	14.22 	13.55 	13.05 	12.97 	14.17 	13.07 	11.61 	11.31 p
A,OLD,TOTAL,PC_GDP,ES	: 	: 	: 	: 	: 	7.24 	7.38 	7.35 	7.22 	7.12 	5.79 	5.6 	5.55 	5.46 	5.33 	5.27 	5.21 	5.45 	5.58 	6.12 	6.43 	6.74 	7.26 	7.82 	8.03 	7.98 	8.04 	8 	8.15 	8.3 	9.58 	9.27 	8.84 	9.12 p
A,OLD,TOTAL,PC_GDP,FI	5.77 	6.67 	7.42 	7.66 	7.43 	7.12 	7.16 	6.79 	6.39 	6.33 	6.11 	6.17 	6.39 	6.56 	6.55 	6.67 	6.77 	6.66 	6.74 	8.01 	8.33 	8.48 	9.12 	9.71 	10.16 	10.3 	10.61 	10.7 	10.73 	10.84 	11.35 	11.03 	10.68 	11.28 
A,OLD,TOTAL,PC_GDP,FR	8.73 	8.99 	9.3 	9.75 	9.87 	10 	9.98 	10.15 	10.09 	10.15 	9.93 	9.99 	10.04 	10.18 	10.23 	10.32 	10.44 	10.55 	10.82 	11.66 	11.73 	11.85 	12.12 	12.36 	12.43 	12.39 	12.46 	12.37 	12.35 	12.24 	13.18 	12.37 	12.22 	12.07 p
A,OLD,TOTAL,PC_GDP,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.02 e	5.51 e	5.52 e	5.42 e	5.4 e	5.47 e	5.6 e	5.41 e	5.44 e	5.34 e	5.35 e	5.38 e	6.1 	5.48 e	5.05 	4.94 
A,OLD,TOTAL,PC_GDP,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.02 	5.79 	5.69 	5.78 	5.94 	5.91 	6.06 	6.1 	6.3 	6.55 	6.69 	6.8 	7.03 	7.51 	7.67 	7.24 	6.95 b	6.82 	6.48 	6.07 	5.67 	6.08 	5.66 	5.4 	5.75 
A,OLD,TOTAL,PC_GDP,IE	: 	: 	: 	: 	: 	2.4 	2.13 	1.96 	1.84 	1.7 	3.45 b	3.42 	3.1 	2.98 	3.41 	3.47 	3.59 	4.15 	4.79 	5.51 	6.33 	6.18 	6.45 	6.27 	5.87 	4.47 	4.5 	4.3 	4.06 	4.03 	3.93 	3.53 	3.11 	3.4 
A,OLD,TOTAL,PC_GDP,IS	: 	: 	: 	: 	: 	3.51 	3.49 	3.56 	3.58 	3.69 	3.83 	3.75 	4 	4.34 	4.12 	4.04 	3.92 	4.06 	4.07 	4.46 	4.19 	4.8 	4.95 	5.04 	5.36 	5.31 	5.55 	6.27 	6.46 	6.8 	7.97 	7.45 	6.71 	6.99 
A,OLD,TOTAL,PC_GDP,IT	: 	: 	: 	: 	: 	6.88 	7.51 	7.77 	7.77 	7.93 	7.8 	7.78 	7.87 	7.98 	7.97 	8.02 	7.99 	8.07 	8.35 	9.1 	9.22 	9.43 	10.02 	10.68 	10.98 	11.2 	11.1 	11.09 	11.1 	10.51 	11.74 	10.92 p	10.59 p	10.73 p
A,OLD,TOTAL,PC_GDP,LT	: 	: 	: 	: 	: 	: 	5.29 e	5.5 e	5.92 e	6.62 e	6.27 e	5.78 e	5.5 e	5.25 e	5.11 e	4.99 e	4.81 e	4.94 e	5.63 e	7.26 e	6.57 e	5.93 e	5.93 e	5.7 e	5.48 e	5.4 e	5.41 e	5.33 e	5.54 e	5.58 e	5.97 p	5.76 p	5.55 	5.7 
