freq,spdepb,spdepm,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,OLD,TOTAL,EUR_HAB_KP10,SE	: 	: 	: 	2714.42 	2692.8 	2674.79 	2690.31 	2719.63 	2729.39 	2732.83 	2727.9 	2714.43 b	2799.38 p	2735.73 p	2776.8 p	2875.42 p	2911.31 p	2978.5 p	3171.41 p	3363.3 p	3406.25 	3503.82 	3654.75 	3860.42 	3832.58 	3912.13 	3992.02 	4010.71 p	3968.97 p	3969.46 p	4062.24 p	4113.4 p	4172.19 p	4097.71 p
A,OLD,TOTAL,EUR_HAB_KP10,SI	: 	: 	: 	: 	: 	: 	854.14 	910.41 	968.23 	971.27 	1015.21 	1056.31 	1118.76 	1146.26 	1187.52 	1060.65 	933.12 	989.89 	982.06 	1071.6 	1077.89 	1093.15 	1087.68 	1120.97 	1163.59 	1217.64 	1270.2 	1498.74 	1546.29 	1587.81 	1676.15 p	1715.37 p	1731.96 	1718.08 
A,OLD,TOTAL,EUR_HAB_KP10,SK	: 	: 	: 	: 	: 	377.62 	398.12 	425.55 	452.13 	449.02 	462.66 	481.91 	515.56 	531.3 	552.3 	586.33 	600.11 	639.86 	650.47 	691.07 	714.08 	718.52 	737.04 	762.38 	820.58 	855.76 	863.54 	891.75 	919.67 	946.35 	980.81 	995.89 	933.86 	1026.96 
A,OLD,TOTAL,EUR_HAB_KP10,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	180.05 	193.11 	216.34 	268.41 	311.89 	342.6 	365.01 	402.25 	399.77 	454.65 	477.04 	489.09 	514.25 	541.29 	557.44 	579.92 	647.37 	633.57 	660.87 	640.68 	632.17 	607.29 	535.32 	665.41 
A,OLD,TOTAL,EUR_HAB_KP10,UK	: 	: 	: 	: 	: 	1760.81 	1825.11 	1947.98 	1954.12 	2063.92 	2287.88 	2291.53 	2234.24 	2295.1 	2349.9 	2443.3 	2487.44 	2644.87 	2693.27 	2842.73 	2925.91 	2950.72 	3077.91 	3113.05 	3136.68 	3201.87 	3055.27 	3198.31 	3205.37 p	: 	: 	: 	: 	: 
A,OLD,TOTAL,EUR_HAB_KP15,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	214.02 p	226.5 p	228.43 p	250.58 p	246.12 	: 
A,OLD,TOTAL,EUR_HAB_KP15,AT	: 	: 	: 	: 	: 	2601.96 	2667.37 	2693.05 	2769.49 	2901.3 	3001.82 	3053.94 	3105.81 	3180.25 	3237.26 	3292.21 	3409.42 	3503.55 	3631.18 	3775.72 	3846.97 	3848.62 	3946.25 	4030.79 	4139 	4194.91 	4220.75 	4254.96 	4321.77 	4495.33 	4542.1 	4670.56 	4587.69 	4611.02 
A,OLD,TOTAL,EUR_HAB_KP15,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	202.21 	219.5 	241.33 	250.49 	249.22 	290.25 	: 	: 	: 	327.45 	376.25 
A,OLD,TOTAL,EUR_HAB_KP15,BE	: 	: 	: 	: 	: 	2190.05 	2273.3 	2302.49 	2339.67 	2376.17 	2363.88 	2398.93 	2461.17 	2490.02 	2542.05 	2569.09 	2598.65 	2565.53 	2692.67 	2829.27 	2863.68 	2924.84 	2882.11 	2983.63 	3068.75 	3215.98 	3206.64 	3298.64 	3367.71 	3438.01 	3577.45 	3545.68 	3564.07 	3669.3 
A,OLD,TOTAL,EUR_HAB_KP15,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	227.28 	245 	252.39 	285.4 	349.37 	373.18 	371.89 	362.95 	398.64 	416.97 	433.15 	447.66 	451.64 	470.06 	477.8 	533.94 	556.64 	640.65 	735.3 
