geo,year,pension_pct_gdp
LT,2000,6.27
LT,2001,5.78
LT,2002,5.5
LT,2003,5.25
LT,2004,5.11
LT,2005,4.99
LT,2006,4.81
LT,2007,4.94
LT,2008,5.63
LT,2009,7.26
LT,2010,6.57
LT,2011,5.93
LT,2012,5.93
LT,2013,5.7
LT,2014,5.48
LT,2015,5.4
LT,2016,5.41
LT,2017,5.33
LT,2018,5.54
LT,2019,5.58
LT,2020,5.97
LT,2021,5.76
LT,2022,5.55
LT,2023,5.7
LU,1990,
LU,1991,
LU,1992,
LU,1993,
LU,1994,
LU,1995,7.83
LU,1996,7.73
LU,1997,7.63
LU,1998,7.44
LU,1999,6.94
LU,2000,6.51
LU,2001,3.82
LU,2002,4.01
LU,2003,4.18
LU,2004,4.09
LU,2005,4.12
LU,2006,3.87
LU,2007,3.68
LU,2008,3.68
LU,2009,4.09
LU,2010,3.91
LU,2011,4.01
LU,2012,4.13
LU,2013,4.22
LU,2014,4.41
LU,2015,4.7
LU,2016,4.74
LU,2017,4.97
LU,2018,5.11
LU,2019,5.29
LU,2020,5.58
LU,2021,5.31
LU,2022,5.46
LU,2023,5.79
LV,1990,
LV,1991,
LV,1992,
LV,1993,
LV,1994,
LV,1995,
LV,1996,
LV,1997,7.87
LV,1998,8.29
LV,1999,9.15
LV,2000,8.18
LV,2001,7.39
LV,2002,7.05
LV,2003,6.35
LV,2004,5.72
LV,2005,5.26
LV,2006,5.08
LV,2007,4.42
LV,2008,5.04
LV,2009,7.21
LV,2010,8.83
LV,2011,7.91
LV,2012,7.39
LV,2013,7.33
LV,2014,7.02
LV,2015,6.81
LV,2016,6.73
LV,2017,6.61
LV,2018,6.62
LV,2019,6.66
LV,2020,7.23
LV,2021,6.94
LV,2022,6.96
LV,2023,7.24
MT,1990,
MT,1991,
MT,1992,
MT,1993,
MT,1994,
MT,1995,5.11
MT,1996,5.63
MT,1997,5.58
MT,1998,5.61
MT,1999,5.62
MT,2000,5.46
MT,2001,6.0
MT,2002,5.88
MT,2003,5.76
MT,2004,5.78
MT,2005,6.05
MT,2006,6.21
MT,2007,6.18
MT,2008,6.32
MT,2009,6.72
MT,2010,6.94
MT,2011,6.75
MT,2012,6.78
MT,2013,6.41
MT,2014,6.04
MT,2015,5.49
MT,2016,5.53
MT,2017,5.12
MT,2018,4.84
MT,2019,4.7
MT,2020,5.08
MT,2021,4.63
MT,2022,4.47
MT,2023,4.06
NL,1990,
NL,1991,
NL,1992,
NL,1993,
NL,1994,
NL,1995,7.21
NL,1996,7.13
NL,1997,6.97
NL,1998,6.99
NL,1999,7.01
NL,2000,7.01
NL,2001,7.0
NL,2002,7.3
NL,2003,7.59
NL,2004,7.65
NL,2005,7.53
NL,2006,7.61
NL,2007,7.5
NL,2008,7.38
NL,2009,7.98
NL,2010,8.32
NL,2011,8.39
NL,2012,8.6
NL,2013,8.69
NL,2014,8.96
NL,2015,9.19
NL,2016,9.14
NL,2017,9.02
NL,2018,8.84
NL,2019,8.78
NL,2020,9.41
NL,2021,8.97
NL,2022,8.29
NL,2023,8.69
PL,1990,
PL,1991,
PL,1992,
PL,1993,
PL,1994,
PL,1995,
PL,1996,
PL,1997,
PL,1998,
PL,1999,
PL,2000,6.55
PL,2001,7.09
PL,2002,7.15
PL,2003,7.17
PL,2004,6.84
PL,2005,6.63
PL,2006,6.71
PL,2007,6.32
PL,2008,6.38
PL,2009,6.78
PL,2010,6.96
PL,2011,6.96
PL,2012,7.43
PL,2013,7.98
PL,2014,7.94
PL,2015,7.88
PL,2016,7.92
PL,2017,7.71
PL,2018,7.94
PL,2019,8.03
PL,2020,8.54
PL,2021,8.12
PL,2022,7.76
PL,2023,8.51
PT,1990,
PT,1991,
PT,1992,
PT,1993,
PT,1994,
PT,1995,5.92
PT,1996,6.1
PT,1997,5.97
PT,1998,6.09
PT,1999,6.3
PT,2000,6.55
PT,2001,6.91
PT,2002,7.15
PT,2003,7.49
PT,2004,7.94
PT,2005,8.34
PT,2006,8.45
PT,2007,8.4
PT,2008,8.82
PT,2009,9.56
PT,2010,9.64
PT,2011,10.27
PT,2012,10.59
PT,2013,11.46
PT,2014,11.46
PT,2015,10.92
PT,2016,10.7
PT,2017,10.44
PT,2018,10.32
PT,2019,10.19
PT,2020,11.22
PT,2021,10.65
PT,2022,10.1
PT,2023,9.55
RO,1990,
RO,1991,
RO,1992,
RO,1993,
RO,1994,
RO,1995,
RO,1996,
RO,1997,
RO,1998,
RO,1999,
RO,2000,5.08
RO,2001,5.13
RO,2002,5.42
RO,2003,4.92
RO,2004,4.99
RO,2005,4.98
RO,2006,4.79
RO,2007,4.99
RO,2008,5.76
RO,2009,7.05
RO,2010,7.29
RO,2011,7.03
RO,2012,6.8
RO,2013,6.94
RO,2014,6.85
RO,2015,6.8
RO,2016,6.9
RO,2017,6.92
RO,2018,6.81
RO,2019,6.75
RO,2020,7.81
RO,2021,7.72
RO,2022,7.34
RO,2023,7.2
SE,1990,
SE,1991,
SE,1992,
SE,1993,9.68
SE,1994,9.33
SE,1995,8.9
SE,1996,8.89
SE,1997,8.76
SE,1998,8.44
SE,1999,8.19
SE,2000,7.83
SE,2001,7.73
SE,2002,7.89
SE,2003,7.68
SE,2004,7.56
SE,2005,7.69
SE,2006,7.46
SE,2007,7.39
SE,2008,7.98
SE,2009,8.85
SE,2010,8.58
SE,2011,8.68
SE,2012,9.19
SE,2013,9.69
SE,2014,9.47
SE,2015,9.3
SE,2016,9.39
SE,2017,9.39
SE,2018,9.27
SE,2019,9.12
SE,2020,9.63
SE,2021,9.27
SE,2022,9.35
SE,2023,9.36
SI,1990,
SI,1991,
SI,1992,
SI,1993,
SI,1994,
SI,1995,
SI,1996,6.93
SI,1997,7.05
SI,1998,7.24
SI,1999,6.91
SI,2000,7.17
SI,2001,7.24
SI,2002,7.41
SI,2003,7.36
SI,2004,7.3
SI,2005,6.33
SI,2006,5.3
SI,2007,5.26
SI,2008,5.12
SI,2009,5.97
SI,2010,6.13
SI,2011,6.22
SI,2012,6.44
SI,2013,6.69
SI,2014,6.71
SI,2015,6.77
SI,2016,6.81
SI,2017,7.67
SI,2018,7.6
SI,2019,7.56
SI,2020,8.34
SI,2021,7.98
SI,2022,7.97
SI,2023,7.62
SK,1990,
SK,1991,
SK,1992,
