geo,year,net_migration_rate,natural_growth_rate,total_growth_rate
BE,1960,1.0,4.3511628661041115,5.3511628661041115
BE,1961,-4.3,5.605266592824657,1.3052665928246574
BE,1962,2.1,4.60328533742137,6.70328533742137
BE,1963,3.7,4.591081968659061,8.29108196865906
BE,1964,5.3,5.439248998137461,10.73924899813746
BE,1965,3.2,4.290472099362544,7.490472099362544
BE,1966,2.3,3.735353819055305,6.035353819055304
BE,1967,1.9,3.2419179647523437,5.141917964752343
BE,1968,0.6,2.1071039698609177,2.707103969860918
BE,1969,0.7,2.2143064044410714,2.9143064044410716
BE,1970,-3.4,2.4335015777181193,-0.9664984222818807
BE,1971,2.3,2.285372291042203,4.585372291042203
BE,1972,1.3,1.9473194394979298,3.2473194394979297
BE,1973,1.9,1.1483676627068373,3.0483676627068372
BE,1974,2.5,0.7702486217008196,3.2702486217008198
BE,1975,2.5,0.027379772151257305,2.5273797721512574
BE,1976,0.8,0.24385640821623877,1.043856408216239
BE,1977,0.5,0.9345126516521635,1.4345126516521636
BE,1978,-0.3,0.7323063492403948,0.43230634924039485
BE,1979,0.2,1.2005095891401993,1.4005095891401993
BE,1980,-0.2,1.085731158759263,0.8857311587592631
BE,1981,-2.1,1.1624825338672142,-0.9375174661327859
BE,1982,-0.5,0.8493504904161908,0.3493504904161908
BE,1983,-0.8,0.26202024200201723,-0.5379797579979828
BE,1984,0.0,0.5038047713884358,0.5038047713884358
BE,1985,-0.1,0.2515794472170596,0.1515794472170596
BE,1986,0.0,0.5853597183051448,0.5853597183051448
BE,1987,-0.1,1.2071262619806622,1.107126261980662
BE,1988,3.7,1.5393314267036435,5.239331426703644
BE,1989,0.7,1.3666932188727763,2.0666932188727762
BE,1990,2.0,1.974912598607408,3.974912598607408
BE,1991,1.3,2.180339892710255,3.480339892710255
BE,1992,2.6,2.0528842704702464,4.652884270470246
BE,1993,1.8,1.3928839561003181,3.192883956100318
BE,1994,1.7,1.260812319547165,2.960812319547165
BE,1995,0.2,1.0507795510896027,1.2507795510896027
BE,1996,1.5,1.1995409269029316,2.6995409269029316
BE,1997,1.0,1.2155088785637604,2.21550887856376
BE,1998,1.2,0.9481701023442878,2.1481701023442876
BE,1999,1.6,0.9072082423775317,2.5072082423775317
BE,2000,1.3,1.1224635795093019,2.422463579509302
BE,2001,3.3,1.1618940831968776,4.461894083196878
BE,2002,3.7,0.7230066757357737,4.423006675735774
BE,2003,3.2,0.6726636670077301,3.87266366700773
BE,2004,3.2,1.5427424495410489,4.7427424495410495
BE,2005,4.7,1.56464020359469,6.26464020359469
BE,2006,4.9,1.9923165193691945,6.892316519369195
BE,2007,5.5,2.214268478895717,7.7142684788957165
BE,2008,5.9,2.12039787506471,8.02039787506471
BE,2009,5.9,2.170912891934218,8.070912891934219
BE,2010,7.9,2.301496184699036,10.201496184699035
BE,2011,4.6,2.2192349207382334,6.819234920738233
BE,2012,3.9,1.713180765896083,5.613180765896082
BE,2013,2.4,1.4609479246405137,3.860947924640514
BE,2014,3.2,1.8119389956389682,5.011938995638968
BE,2015,5.5,1.0441144355828649,6.544114435582864
BE,2016,2.4,1.2199502489453518,3.6199502489453517
BE,2017,3.2,0.8830374444346661,4.083037444434666
